breed_group,primary_breed,bite_code,bite_severity,gender
ALASKAN HUSKY,ALASKAN HUSKY,9,UNKNOWN,N
ALASKAN HUSKY,ALASKAN HUSKY,9,UNKNOWN,N
ALASKAN HUSKY,ALASKAN HUSKY,9,UNKNOWN,S
ALASKAN HUSKY,ALASKAN HUSKY,9,UNKNOWN,U
ALASKAN HUSKY,ALASKAN HUSKY,9,UNKNOWN,M
AMER BULLDOG,AMER BULLDOG,1,SNGLB,N
AMER BULLDOG,AMER BULLDOG,1,SNGLB,N
AMER BULLDOG,AMER BULLDOG,1,SNGLB,M
AMER BULLDOG,AMER BULLDOG,1,SNGLB,N
AMER BULLDOG,AMER BULLDOG,1,SNGLB,U
AMER BULLDOG,AMER BULLDOG,2,PROLONGB,F
AMER BULLDOG,AMER BULLDOG,3,MULTIB,N
AMER BULLDOG,AMER BULLDOG,9,UNKNOWN,S
AMER ESKIMO,AMER ESKIMO,1,SNGLB,N
AMER FOXHOUND,AMER FOXHOUND,2,PROLONGB,N
ANATOL SHEPHERD,ANATOL SHEPHERD,2,PROLONGB,U
ANATOL SHEPHERD,ANATOL SHEPHERD,3,MULTIB,S
AUST CATTLE DOG,AUST CATTLE DOG,0,SNGLNIP,F
AUST CATTLE DOG,AUST CATTLE DOG,0,SNGLNIP,M
AUST CATTLE DOG,AUST CATTLE DOG,0,SNGLNIP,N
AUST CATTLE DOG,AUST CATTLE DOG,0,SNGLNIP,N
AUST CATTLE DOG,AUST CATTLE DOG,0,SNGLNIP,S
AUST CATTLE DOG,AUST CATTLE DOG,0,SNGLNIP,U
AUST CATTLE DOG,AUST CATTLE DOG,0,SNGLNIP,F
AUST CATTLE DOG,AUST CATTLE DOG,0,SNGLNIP,M
AUST CATTLE DOG,AUST CATTLE DOG,0,SNGLNIP,N
AUST CATTLE DOG,QUEENSLAND HEEL,0,SNGLNIP,N
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,M
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,M
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,M
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,N
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,N
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,N
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,N
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,N
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,S
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,U
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,U
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,N
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,M
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,N
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,M
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,F
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,N
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,S
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,S
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,S
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,S
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,S
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,S
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,U
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,U
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,S
AUST CATTLE DOG,AUST CATTLE DOG,1,SNGLB,N
AUST CATTLE DOG,QUEENSLAND HEEL,1,SNGLB,N
AUST CATTLE DOG,QUEENSLAND HEEL,1,SNGLB,S
AUST CATTLE DOG,QUEENSLAND HEEL,1,SNGLB,S
AUST CATTLE DOG,QUEENSLAND HEEL,1,SNGLB,N
AUST CATTLE DOG,AUST CATTLE DOG,2,PROLONGB,M
AUST CATTLE DOG,AUST CATTLE DOG,2,PROLONGB,S
AUST CATTLE DOG,AUST CATTLE DOG,3,MULTIB,N
AUST CATTLE DOG,AUST CATTLE DOG,3,MULTIB,S
AUST CATTLE DOG,AUST CATTLE DOG,3,MULTIB,N
AUST CATTLE DOG,AUST CATTLE DOG,9,UNKNOWN,M
AUST CATTLE DOG,AUST CATTLE DOG,9,UNKNOWN,S
AUST CATTLE DOG,AUST CATTLE DOG,9,UNKNOWN,S
AUST CATTLE DOG,AUST CATTLE DOG,9,UNKNOWN,M
AUST CATTLE DOG,AUST CATTLE DOG,9,UNKNOWN,N
AUST CATTLE DOG,AUST CATTLE DOG,9,UNKNOWN,N
AUST CATTLE DOG,AUST CATTLE DOG,9,UNKNOWN,S
AUST KELPIE,AUST KELPIE,1,SNGLB,S
AUST KELPIE,AUST KELPIE,3,MULTIB,N
AUST SHEPHERD,AUST SHEPHERD,0,SNGLNIP,N
AUST SHEPHERD,AUST SHEPHERD,0,SNGLNIP,N
AUST SHEPHERD,AUST SHEPHERD,0,SNGLNIP,N
AUST SHEPHERD,AUST SHEPHERD,0,SNGLNIP,N
AUST SHEPHERD,AUST SHEPHERD,0,SNGLNIP,S
AUST SHEPHERD,AUST SHEPHERD,1,SNGLB,F
AUST SHEPHERD,AUST SHEPHERD,1,SNGLB,F
AUST SHEPHERD,AUST SHEPHERD,1,SNGLB,M
AUST SHEPHERD,AUST SHEPHERD,1,SNGLB,N
AUST SHEPHERD,AUST SHEPHERD,1,SNGLB,N
AUST SHEPHERD,AUST SHEPHERD,1,SNGLB,N
AUST SHEPHERD,AUST SHEPHERD,1,SNGLB,S
AUST SHEPHERD,AUST SHEPHERD,1,SNGLB,S
AUST SHEPHERD,AUST SHEPHERD,1,SNGLB,U
AUST SHEPHERD,AUST SHEPHERD,1,SNGLB,U
AUST SHEPHERD,AUST SHEPHERD,1,SNGLB,S
AUST SHEPHERD,AUST SHEPHERD,1,SNGLB,M
AUST SHEPHERD,AUST SHEPHERD,1,SNGLB,N
AUST SHEPHERD,AUST SHEPHERD,1,SNGLB,N
AUST SHEPHERD,AUST SHEPHERD,1,SNGLB,N
AUST SHEPHERD,AUST SHEPHERD,1,SNGLB,N
AUST SHEPHERD,AUST SHEPHERD,1,SNGLB,S
AUST SHEPHERD,AUST SHEPHERD,1,SNGLB,S
AUST SHEPHERD,AUST SHEPHERD,1,SNGLB,U
AUST SHEPHERD,AUST SHEPHERD,1,SNGLB,U
AUST SHEPHERD,AUST SHEPHERD,2,PROLONGB,M
AUST SHEPHERD,AUST SHEPHERD,2,PROLONGB,N
AUST SHEPHERD,AUST SHEPHERD,2,PROLONGB,U
AUST SHEPHERD,AUST SHEPHERD,2,PROLONGB,N
AUST TERRIER,AUST TERRIER,0,SNGLNIP,N
AUST TERRIER,AUST TERRIER,1,SNGLB,U
AUST TERRIER,AUST TERRIER,1,SNGLB,N
AUST TERRIER,AUST TERRIER,9,UNKNOWN,N
BASENJI,BASENJI,0,SNGLNIP,N
BASENJI,BASENJI,0,SNGLNIP,N
BASSET HOUND,BASSET HOUND,0,SNGLNIP,N
BASSET HOUND,BASSET HOUND,0,SNGLNIP,M
BASSET HOUND,BASSET HOUND,1,SNGLB,N
BASSET HOUND,BASSET HOUND,1,SNGLB,M
BASSET HOUND,BASSET HOUND,1,SNGLB,N
BASSET HOUND,BASSET HOUND,2,PROLONGB,U
BEAGLE,BEAGLE,0,SNGLNIP,F
BEAGLE,BEAGLE,0,SNGLNIP,U
BEAGLE,BEAGLE,0,SNGLNIP,N
BEAGLE,BEAGLE,0,SNGLNIP,N
BEAGLE,BEAGLE,1,SNGLB,F
BEAGLE,BEAGLE,1,SNGLB,F
BEAGLE,BEAGLE,1,SNGLB,N
BEAGLE,BEAGLE,1,SNGLB,S
BEAGLE,BEAGLE,1,SNGLB,U
BEAGLE,BEAGLE,1,SNGLB,U
BEAGLE,BEAGLE,1,SNGLB,N
BEAGLE,BEAGLE,1,SNGLB,N
BEAGLE,BEAGLE,1,SNGLB,N
BEAGLE,BEAGLE,1,SNGLB,N
BEAGLE,BEAGLE,1,SNGLB,S
BEAGLE,BEAGLE,1,SNGLB,U
BEAGLE,BEAGLE,1,SNGLB,U
BEAGLE,BEAGLE,3,MULTIB,S
BEAGLE,BEAGLE,3,MULTIB,S
BEAGLE,BEAGLE,3,MULTIB,U
BEAGLE,BEAGLE,9,UNKNOWN,N
BEAGLE,BEAGLE,9,UNKNOWN,S
BEAGLE,BEAGLE,9,UNKNOWN,U
BEAGLE,BEAGLE,9,UNKNOWN,N
BEAUCERON,BEAUCERON,1,SNGLB,N
BEAUCERON,BEAUCERON,9,UNKNOWN,U
BELG MALINOIS,BELG MALINOIS,1,SNGLB,F
BELG MALINOIS,BELG MALINOIS,1,SNGLB,N
BELG MALINOIS,BELG MALINOIS,1,SNGLB,U
BELG MALINOIS,BELG MALINOIS,1,SNGLB,U
BELG MALINOIS,BELG MALINOIS,1,SNGLB,S
BELG MALINOIS,BELG MALINOIS,9,UNKNOWN,M
BELG MALINOIS,BELG MALINOIS,9,UNKNOWN,N
BELG SHEEPDOG,BELG SHEEPDOG,0,SNGLNIP,S
BERNESE HOUND,BERNESE HOUND,0,SNGLNIP,M
BERNESE MTN DOG,BERNESE MTN DOG,0,SNGLNIP,N
BERNESE MTN DOG,BERNESE MTN DOG,0,SNGLNIP,N
BERNESE MTN DOG,BERNESE MTN DOG,0,SNGLNIP,U
BERNESE MTN DOG,BERNESE MTN DOG,1,SNGLB,N
BERNESE MTN DOG,BERNESE MTN DOG,2,PROLONGB,M
BERNESE MTN DOG,BERNESE MTN DOG,9,UNKNOWN,M
BICHON FRISE,BICHON FRISE,0,SNGLNIP,M
BICHON FRISE,BICHON FRISE,0,SNGLNIP,N
BICHON FRISE,BICHON FRISE,0,SNGLNIP,N
BICHON FRISE,BICHON FRISE,0,SNGLNIP,U
BICHON FRISE,BICHON FRISE,0,SNGLNIP,F
BICHON FRISE,BICHON FRISE,1,SNGLB,M
BICHON FRISE,BICHON FRISE,1,SNGLB,M
BICHON FRISE,BICHON FRISE,1,SNGLB,M
BICHON FRISE,BICHON FRISE,1,SNGLB,M
BICHON FRISE,BICHON FRISE,1,SNGLB,N
BICHON FRISE,BICHON FRISE,1,SNGLB,N
BICHON FRISE,BICHON FRISE,1,SNGLB,N
BICHON FRISE,BICHON FRISE,1,SNGLB,N
BICHON FRISE,BICHON FRISE,1,SNGLB,N
BICHON FRISE,BICHON FRISE,1,SNGLB,U
BICHON FRISE,BICHON FRISE,1,SNGLB,U
BICHON FRISE,BICHON FRISE,1,SNGLB,S
BICHON FRISE,BICHON FRISE,1,SNGLB,F
BICHON FRISE,BICHON FRISE,1,SNGLB,U
BICHON FRISE,BICHON FRISE,3,MULTIB,N
BICHON FRISE,BICHON FRISE,9,UNKNOWN,U
BLACK MOUTH CUR,BLACK MOUTH CUR,1,SNGLB,M
BLACK MOUTH CUR,BLACK MOUTH CUR,1,SNGLB,N
BLACK MOUTH CUR,BLACK MOUTH CUR,3,MULTIB,N
BLOODHOUND,BLOODHOUND,0,SNGLNIP,M
BLOODHOUND,BLOODHOUND,1,SNGLB,S
BLOODHOUND,BLOODHOUND,2,PROLONGB,S
BLOODHOUND,BLOODHOUND,2,PROLONGB,S
BORDER COLLIE,BORDER COLLIE,0,SNGLNIP,N
BORDER COLLIE,BORDER COLLIE,0,SNGLNIP,U
BORDER COLLIE,BORDER COLLIE,0,SNGLNIP,U
BORDER COLLIE,BORDER COLLIE,0,SNGLNIP,S
BORDER COLLIE,BORDER COLLIE,0,SNGLNIP,N
BORDER COLLIE,BORDER COLLIE,0,SNGLNIP,N
BORDER COLLIE,BORDER COLLIE,0,SNGLNIP,S
BORDER COLLIE,BORDER COLLIE,0,SNGLNIP,S
BORDER COLLIE,BORDER COLLIE,0,SNGLNIP,U
BORDER COLLIE,BORDER COLLIE,0,SNGLNIP,U
BORDER COLLIE,BORDER COLLIE,0,SNGLNIP,U
BORDER COLLIE,BORDER COLLIE,0,SNGLNIP,M
BORDER COLLIE,BORDER COLLIE,1,SNGLB,N
BORDER COLLIE,BORDER COLLIE,1,SNGLB,N
BORDER COLLIE,BORDER COLLIE,1,SNGLB,N
BORDER COLLIE,BORDER COLLIE,1,SNGLB,S
BORDER COLLIE,BORDER COLLIE,1,SNGLB,S
BORDER COLLIE,BORDER COLLIE,1,SNGLB,N
BORDER COLLIE,BORDER COLLIE,1,SNGLB,N
BORDER COLLIE,BORDER COLLIE,1,SNGLB,F
BORDER COLLIE,BORDER COLLIE,1,SNGLB,M
BORDER COLLIE,BORDER COLLIE,1,SNGLB,N
BORDER COLLIE,BORDER COLLIE,1,SNGLB,N
BORDER COLLIE,BORDER COLLIE,1,SNGLB,N
BORDER COLLIE,BORDER COLLIE,1,SNGLB,N
BORDER COLLIE,BORDER COLLIE,1,SNGLB,N
BORDER COLLIE,BORDER COLLIE,1,SNGLB,N
BORDER COLLIE,BORDER COLLIE,1,SNGLB,S
BORDER COLLIE,BORDER COLLIE,1,SNGLB,S
BORDER COLLIE,BORDER COLLIE,1,SNGLB,S
BORDER COLLIE,BORDER COLLIE,1,SNGLB,U
BORDER COLLIE,BORDER COLLIE,2,PROLONGB,M
BORDER COLLIE,BORDER COLLIE,2,PROLONGB,N
BORDER COLLIE,BORDER COLLIE,2,PROLONGB,S
BORDER COLLIE,BORDER COLLIE,3,MULTIB,N
BORDER COLLIE,BORDER COLLIE,3,MULTIB,N
BORDER COLLIE,BORDER COLLIE,4,MAULING,S
BORDER COLLIE,BORDER COLLIE,9,UNKNOWN,N
BORDER COLLIE,BORDER COLLIE,9,UNKNOWN,N
BORDER TERRIER,BORDER TERRIER,0,SNGLNIP,S
BORDER TERRIER,BORDER TERRIER,1,SNGLB,S
BORDER TERRIER,BORDER TERRIER,1,SNGLB,U
BORDER TERRIER,BORDER TERRIER,1,SNGLB,S
BORDER TERRIER,BORDER TERRIER,3,MULTIB,N
BOSTON TERRIER,BOSTON TERRIER,0,SNGLNIP,F
BOSTON TERRIER,BOSTON TERRIER,0,SNGLNIP,M
BOSTON TERRIER,BOSTON TERRIER,0,SNGLNIP,N
BOSTON TERRIER,BOSTON TERRIER,0,SNGLNIP,U
BOSTON TERRIER,BOSTON TERRIER,1,SNGLB,M
BOSTON TERRIER,BOSTON TERRIER,1,SNGLB,U
BOSTON TERRIER,BOSTON TERRIER,1,SNGLB,U
BOSTON TERRIER,BOSTON TERRIER,1,SNGLB,U
BOSTON TERRIER,BOSTON TERRIER,2,PROLONGB,N
BOSTON TERRIER,BOSTON TERRIER,2,PROLONGB,S
BOSTON TERRIER,BOSTON TERRIER,3,MULTIB,S
BOUV FLANDRES,BOUV FLANDRES,0,SNGLNIP,U
BOXER,BOXER,0,SNGLNIP,N
BOXER,BOXER,0,SNGLNIP,S
BOXER,BOXER,0,SNGLNIP,U
BOXER,BOXER,0,SNGLNIP,M
BOXER,BOXER,0,SNGLNIP,N
BOXER,BOXER,0,SNGLNIP,N
BOXER,BOXER,0,SNGLNIP,M
BOXER,BOXER,0,SNGLNIP,N
BOXER,BOXER,0,SNGLNIP,N
BOXER,BOXER,0,SNGLNIP,N
BOXER,BOXER,0,SNGLNIP,S
BOXER,BOXER,1,SNGLB,M
BOXER,BOXER,1,SNGLB,M
BOXER,BOXER,1,SNGLB,N
BOXER,BOXER,1,SNGLB,N
BOXER,BOXER,1,SNGLB,N
BOXER,BOXER,1,SNGLB,N
BOXER,BOXER,1,SNGLB,S
BOXER,BOXER,1,SNGLB,S
BOXER,BOXER,1,SNGLB,S
BOXER,BOXER,1,SNGLB,S
BOXER,BOXER,1,SNGLB,U
BOXER,BOXER,1,SNGLB,N
BOXER,BOXER,1,SNGLB,F
BOXER,BOXER,1,SNGLB,F
BOXER,BOXER,1,SNGLB,M
BOXER,BOXER,1,SNGLB,N
BOXER,BOXER,1,SNGLB,N
BOXER,BOXER,1,SNGLB,N
BOXER,BOXER,1,SNGLB,N
BOXER,BOXER,1,SNGLB,N
BOXER,BOXER,1,SNGLB,N
BOXER,BOXER,1,SNGLB,M
BOXER,BOXER,1,SNGLB,N
BOXER,BOXER,1,SNGLB,S
BOXER,BOXER,2,PROLONGB,M
BOXER,BOXER,2,PROLONGB,S
BOXER,BOXER,2,PROLONGB,N
BOXER,BOXER,2,PROLONGB,N
BOXER,BOXER,2,PROLONGB,S
BOXER,BOXER,3,MULTIB,M
BOXER,BOXER,3,MULTIB,N
BOXER,BOXER,3,MULTIB,N
BOXER,BOXER,3,MULTIB,S
BOXER,BOXER,3,MULTIB,S
BOXER,BOXER,3,MULTIB,S
BOXER,BOXER,4,MAULING,S
BOXER,BOXER,4,MAULING,N
BOXER,BOXER,9,UNKNOWN,U
BOXER,BOXER,9,UNKNOWN,N
BOXER,BOXER,9,UNKNOWN,M
BOXER,BOXER,9,UNKNOWN,N
BOXER,BOXER,9,UNKNOWN,S
BOXER,BOXER,9,UNKNOWN,N
BOXER,BOXER,9,UNKNOWN,S
BOXER,BOXER,9,UNKNOWN,S
BRITTANY,BRITTANY,0,SNGLNIP,N
BRITTANY,BRITTANY,1,SNGLB,U
BRITTANY,BRITTANY,3,MULTIB,N
BRUSS GRIFFON,BRUSS GRIFFON,0,SNGLNIP,N
BULL TERR MIN,BULL TERR MIN,0,SNGLNIP,U
BULL TERRIER,BULL TERRIER,0,SNGLNIP,S
BULL TERRIER,BULL TERRIER,1,SNGLB,F
BULL TERRIER,BULL TERRIER,1,SNGLB,S
BULL TERRIER,BULL TERRIER,1,SNGLB,S
BULL TERRIER,BULL TERRIER,1,SNGLB,S
BULL TERRIER,BULL TERRIER,2,PROLONGB,F
BULL TERRIER,BULL TERRIER,9,UNKNOWN,N
BULLDOG,BULLDOG,0,SNGLNIP,N
BULLDOG,BULLDOG,0,SNGLNIP,N
BULLDOG,BULLDOG,1,SNGLB,M
BULLDOG,BULLDOG,1,SNGLB,U
BULLDOG,BULLDOG,1,SNGLB,U
BULLDOG,BULLDOG,1,SNGLB,U
BULLDOG,BULLDOG,2,PROLONGB,F
BULLDOG,BULLDOG,2,PROLONGB,F
BULLDOG,BULLDOG,2,PROLONGB,S
BULLDOG,BULLDOG,3,MULTIB,N
BULLDOG,BULLDOG,3,MULTIB,F
BULLDOG,BULLDOG,9,UNKNOWN,M
BULLDOG,BULLDOG,9,UNKNOWN,U
BULLMASTIFF,BULLMASTIFF,0,SNGLNIP,U
BULLMASTIFF,BULLMASTIFF,1,SNGLB,U
CAIRN TERRIER,CAIRN TERRIER,0,SNGLNIP,S
CAIRN TERRIER,CAIRN TERRIER,0,SNGLNIP,S
CAIRN TERRIER,CAIRN TERRIER,1,SNGLB,N
CAIRN TERRIER,CAIRN TERRIER,1,SNGLB,N
CAIRN TERRIER,CAIRN TERRIER,1,SNGLB,N
CAIRN TERRIER,CAIRN TERRIER,1,SNGLB,S
CAIRN TERRIER,CAIRN TERRIER,9,UNKNOWN,N
CAIRN TERRIER,CAIRN TERRIER,9,UNKNOWN,U
CANE CORSO,CANE CORSO,0,SNGLNIP,M
CANE CORSO,CANE CORSO,0,SNGLNIP,N
CANE CORSO,CANE CORSO,1,SNGLB,F
CANE CORSO,CANE CORSO,1,SNGLB,F
CANE CORSO,CANE CORSO,1,SNGLB,M
CANE CORSO,CANE CORSO,2,PROLONGB,N
CANE CORSO,CANE CORSO,4,MAULING,N
CANE CORSO,CANE CORSO,9,UNKNOWN,N
CAROLINA DOG,CAROLINA DOG,0,SNGLNIP,S
CATAHOULA,CATAHOULA,0,SNGLNIP,M
CATAHOULA,CATAHOULA,0,SNGLNIP,N
CATAHOULA,CATAHOULA,1,SNGLB,U
CATAHOULA,CATAHOULA,1,SNGLB,U
CATAHOULA,CATAHOULA,1,SNGLB,S
CATAHOULA,CATAHOULA,1,SNGLB,S
CATAHOULA,CATAHOULA,2,PROLONGB,M
CATAHOULA,CATAHOULA,2,PROLONGB,N
CATAHOULA,CATAHOULA,9,UNKNOWN,N
CATAHOULA,CATAHOULA,9,UNKNOWN,F
CAVALIER SPAN,CAVALIER SPAN,0,SNGLNIP,U
CAVALIER SPAN,CAVALIER SPAN,1,SNGLB,N
CAVALIER SPAN,CAVALIER SPAN,1,SNGLB,M
CAVALIER SPAN,CAVALIER SPAN,1,SNGLB,M
CHESA BAY RETR,CHESA BAY RETR,1,SNGLB,N
CHIHUAHUA,CHIHUAHUA LH,0,SNGLNIP,M
CHIHUAHUA,CHIHUAHUA LH,0,SNGLNIP,M
CHIHUAHUA,CHIHUAHUA LH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA LH,0,SNGLNIP,U
CHIHUAHUA,CHIHUAHUA LH,0,SNGLNIP,U
CHIHUAHUA,CHIHUAHUA LH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA LH,0,SNGLNIP,F
CHIHUAHUA,CHIHUAHUA LH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,F
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,F
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,F
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,M
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,M
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,M
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,M
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,M
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,M
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,M
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,M
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,M
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,M
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
CHIHUAHUA,CHIHUAHUA SH,0,SNGLNIP,N
