breed_group,primary_breed,age,modified_age,gender,multi_dog,bad_data
UNKNOWN,UNKNOWN,U,U,U,F,T
UNKNOWN,UNKNOWN,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
MIX,Mixed/Other,4,4,M,F,F
PIT MIX,Pit Bull,U,U,U,F,F
BASENJI,BASENJI,4Y,4,M,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,5Y,5,M,F,F
MIX,MIXED,3Y,3,F,F,F
,,U,U,U,F,T
MIX,Yorkshire Terrier Crossbreed,7,7,N,F,F
GREAT DANE,Great Dane,6,6,S,F,F
PIT MIX,Pit Bull,U,U,U,F,F
MIX,Labradoodle,5,5,S,F,F
UNKNOWN,ZUCHON,4,4,M,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
,,U,U,U,F,T
MIX,MIXED,7,7,M,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
POODLE MIN,"Poodle, Miniature",8,8,N,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,11,11,S,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
UNKNOWN,UNKNOWN,U,U,U,F,T
UNKNOWN,UNKNOWN,U,U,U,F,T
PEKINGESE,Pekingese,3,3,N,F,F
MIX,POODLE X,13Y,13,N,F,F
MIX,Labrador Retriever Crossbreed,11,11,N,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,2,2,S,F,F
DACHSHUND,Dachshund Smooth Coat,2,2,M,F,F
PIT MIX,Pit Bull,U,U,U,F,F
,,2,2,N,F,T
MIX,MIXED,U,U,F,F,F
MIX,MIXED,U,U,F,F,F
CHIHUAHUA,Chihuahua,4,4,M,F,F
PIT MIX,Pit Bull,U,U,U,F,F
YORKSHIRE TERR,Yorkshire Terrier,U,U,U,F,F
SHIH TZU,Shih Tzu,U,U,U,F,F
PUG,Pug,8,8,N,F,F
MALTESE,Maltese,U,U,U,F,F
MIX,Mixed/Other,U,U,U,F,F
MIX,Mixed/Other,7,7,F,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
MIX,MINATURE PINSCHER X,8,8,M,F,F
MIX,TERRIER CROSS,4,4,M,F,F
SHIH TZU,Shih Tzu,U,U,U,F,F
DACHSHUND,"Dachshund, Wirehaired, Miniature",10M,0.83,M,F,F
MIX,AMERICAN STAFF X,3,3,N,F,F
,,U,U,U,F,T
BICHON FRISE,Bichon Frise,U,U,U,F,F
GERM SHEPHERD,German Shepherd,1,1,M,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
MIX,MIXED BREED,U,U,U,F,F
MIX,MIXED,5,5,M,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
CHIHUAHUA,Chihuahua,9M,0.75,M,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,2,2,M,F,F
MIX,MIXED BREED,U,U,M,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,6,6,M,F,F
GERM SHEPHERD,German Shepherd,3,3,M,F,F
MIX,MIXED BREED,U,U,U,F,F
LABRADOR RETR,Labrador Retriever,5,5,N,F,F
ROTTWEILER,Rottweiler,U,U,U,F,F
MIX,SHIH TZU X,9,9,M,F,F
PIT MIX,CANE CORSO/BLUE NOSED PIT BULLX,10,10,M,F,F
MIX,POMERANIAN MIX,8M,0.67,M,F,F
NORFOLK TERRIER,Norfolk Terrier,U,U,U,F,F
MIX,BORDER COLLIE MIX,3,3,F,F,F
MIX,Beagle Crossbreed,4,4,S,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,2,2,M,F,F
MIX,POODLE MIX,4,4,N,F,F
UNKNOWN,UNCERTAIN,U,U,U,F,T
MIX,MIXED BREED,2,2,S,F,F
,,U,U,U,F,T
MIX,Labrador Retriever Crossbreed,4,4,S,F,F
CHIHUAHUA,Chihuahua,7,7,N,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,2,2,F,F,F
PIT MIX,Pit Bull,3,3,S,F,F
YORKSHIRE TERR,Yorkshire Terrier,U,U,F,F,F
ROTTWEILER,Rottweiler,U,U,U,F,F
PIT MIX,Pit Bull,3,3,M,F,F
MIX,MINI PINSCHER/POMERANIAN X,8,8,N,F,F
PIT MIX,Pit Bull,3,3,F,F,F
POODLE STND,"Poodle, Standard",5,5,F,F,F
PIT MIX,Pit Bull,U,U,U,F,F
MIX,Labradoodle,8,8,N,F,F
UNKNOWN,UNCERTAIN,U,U,U,F,T
UNKNOWN,ZUCHON,7,7,N,F,F
COCKER SPAN,Cocker Spaniel,2,2,M,F,F
MIX,Beagle Crossbreed,U,U,U,F,F
SIBERIAN HUSKY,Siberian Husky,5,5,S,F,F
MIX,MIXED BREED,3,3,M,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,4,4,N,F,F
MIX,SHEPHERD/POINTER X,1,1,N,F,F
BOXER,Boxer,U,U,U,F,F
SHIH TZU,Shih Tzu,U,U,U,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
MIX,MIXED BREED,13,13,N,F,F
MIX,TERRIER MIX,5,5,M,F,F
GERM SHEPHERD,German Shepherd,U,U,U,F,F
,,U,U,U,F,T
UNKNOWN,UNCERTAIN,U,U,U,F,T
PIT MIX,Pit Bull,2,2,S,F,F
SIBERIAN HUSKY,Siberian Husky,2,2,M,F,F
PIT MIX,Pit Bull,4M,0.33,F,F,F
LABRADOR RETR,Labrador Retriever,10W,0.19,M,F,F
BEAGLE,Beagle,7,7,N,F,F
JACK RUSS TERR,Jack Russ,U,U,U,F,F
ROTTWEILER,Rottweiler,4,4,N,F,F
MIX,Labrador Retriever Crossbreed,2,2,N,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,3,3,M,F,F
MIX,MIXED BREED,11,11,F,F,F
MIX,MIXED BREED,9,9,U,F,F
MIX,MIXED BREED,2,2,F,F,F
MIX,MIXED BREED,6,6,S,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
UNKNOWN,UNKNOWN,U,U,U,F,T
UNKNOWN,UNKNOWN,U,U,U,F,T
MALTESE,Maltese,7-8M,7,F,F,F
LHASA APSO,Lhasa Apso,1,1,M,F,F
MIX,CORGI-CHIHUAHUA X,11,11,N,F,F
MIX,YORKIPOO,9,9,N,F,F
MIX,YORKIPOO,3,3,M,F,F
MIX,MIXED BREED,8,8,N,F,F
PIT MIX,Pit Bull,U,U,U,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
SHIH TZU,Shih Tzu,13,13,F,F,F
BICHON FRISE,Bichon Frise,U,U,U,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
PIT MIX,American Pit Bull Mix / Pit Bull Mix,4,4,S,F,F
SHIH TZU,Shih Tzu,2,2,F,F,F
MIX,BICHON / POODLE MIX,11,11,M,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
MALTESE,Maltese,11,11,N,F,F
MIX,MIXED BREED,4,4,F,F,F
MIX,MALTESE/ SHIH TZU X,3,3,M,F,F
MIX,SIBERIAN HUSKY X,4,4,M,F,F
MIX,MIXED BREED,10,10,M,F,F
MIX,MIXED BREED,10,10,M,F,F
MIX,MIXED BREED,3,3,M,F,F
MIX,MIXED BREED,3,3,M,F,F
MIX,MIXED BREED,4,4,M,F,F
MIX,MIXED BREED,4,4,M,F,F
MIX,MIXED BREED,2,2,M,F,F
MIX,MIXED BREED,2,2,M,F,F
AKITA,Akita,4,4,M,F,F
MIX,SHIH TZU X,3,3,M,F,F
MIX,RAT TERRIER MIX,1,1,U,F,F
MIX,BOSTON TERRIER/CHIHUAHUA,6,6,S,F,F
MIX,German Shepherd Crossbreed,3,3,N,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
MIX,YORKIPOO,2,2,M,F,F
MIX,MIXED BREED,3,3,N,F,F
SIBERIAN HUSKY,Siberian Husky,1,1,N,F,F
SHIH TZU,Shih Tzu,6,6,N,F,F
PIT MIX,Pit Bull,U,U,U,F,F
MALTESE,Maltese,10,10,S,F,F
MIX,MIXED,6,6,S,F,F
MIX,Yorkshire Terrier Crossbreed,6,6,M,F,F
MIX,BORDER COLLIE X,U,U,M,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,1,1,M,F,F
CANE CORSO,Cane Corso,9,9,F,F,F
DACHSHUND,Dachshund Smooth Coat,12,12,S,F,F
ROTTWEILER,Rottweiler,2,2,N,F,F
MIX,YORKIPOO,2Y,2,N,F,F
PIT MIX,Pit Bull,U,U,U,F,F
MIX,MALTESE/ SHIH TZU,1,1,N,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
MIX,MIXED,2,2,M,F,F
,,U,U,U,F,T
PIT MIX,American Pit Bull Mix / Pit Bull Mix,5,5,M,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,3,3,M,F,F
SHIH TZU,Shih Tzu,7,7,M,F,F
GERM SHEPHERD,German Shepherd,U,U,U,F,F
MIX,MIXED,8,8,M,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
GERM SHEPHERD,German Shepherd,2,2,N,F,F
MIX,German Shepherd Crossbreed,8,8,N,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
UNKNOWN,UNKNOWN,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
CHIHUAHUA,Chihuahua,U,U,U,F,F
MIX,SHIH TZU X,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
MIX,LHASA APSO/POODLE X,5,5,S,F,F
PIT MIX,Pit Bull,U,U,U,F,F
MIX,MIXED BREED,5,5,M,F,F
MIX,YORKIE-POO,70.25,7.25,M,F,F
GERM SHEPHERD,German Shepherd,9M,0.75,N,F,F
MIX,MIXED,2,2,S,F,F
MIX,MIXED,U,U,U,F,F
MIX,Mixed/Other,4,4,M,F,F
GOLDEN RETR,Golden Retriever,1,1,M,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,4,4,F,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
MIX,Labrador Retriever Crossbreed,5,5,N,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
PIT MIX,American Pit Bull Mix / Pit Bull Mix,U,U,M,F,F
,,U,U,U,F,T
UNKNOWN,UNKNOWN,U,U,M,F,T
YORKSHIRE TERR,Yorkshire Terrier,15,15,N,F,F
PIT MIX,PIT BULL/LAB X,8,8,F,F,F
SHIBA INU,Shiba Inu,U,U,M,F,F
YORKSHIRE TERR,Yorkshire Terrier,1,1,F,F,F
BULLDOG,Bull dog,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
ROTTWEILER,Rottweiler,1,1,N,F,F
MIX,German Shepherd Crossbreed,15,15,N,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
SIBERIAN HUSKY,Siberian Husky,U,U,U,F,F
,,U,U,U,F,T
MIX,YORKIE POO,7,7,N,F,F
MIX,Yorkshire Terrier Crossbreed,7,7,F,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,F,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
MIX,Beagle Crossbreed,4,4,N,F,F
FRENCH BULLDOG,"Bull Dog, French",2,2,N,F,F
MIX,MIXED BREED,8,8,M,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
UNKNOWN,UNKNOWN,U,U,U,F,T
GREAT DANE,Great Dane,U,U,U,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
CANE CORSO,Cane Corso,1,1,F,F,F
MIX,Labrador Retriever Crossbreed,3,3,N,F,F
PIT MIX,Pit Bull,U,U,U,F,F
MIX,MIXED BREED,1,1,M,F,F
UNKNOWN,YORKIE CHON,4,4,N,F,F
MIX,MIXED BREED,U,U,U,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,4,4,F,F,F
TERRIER,WIRE HAIR TERRIER,2,2,S,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
COCKER SPAN,Cocker Spaniel,6,6,F,F,F
PIT MIX,Pit Bull,U,U,U,F,F
MIX,CHOW CHOW X,4,4,S,F,F
MIX,CHOW CHOW X,4,4,S,F,F
MIX,LARGE MIXED BREED,6,6,F,F,F
MIX,MIXED,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
BULLDOG,AMERICAN BULLY,1,1,M,F,F
SHIH TZU,Shih Tzu,U,U,U,F,F
MIX,MIXED BREED,U,U,F,F,F
MIX,MIXED BREED,1,1,M,F,F
GOLDEN RETR,Golden Retriever,8,8,F,F,F
UNKNOWN,UNCERTAIN,U,U,U,F,T
PIT MIX,American Pit Bull Terrier/Pit Bull,5,5,N,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,3,3,F,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
UNKNOWN,UNKNOWN,U,U,U,F,T
PIT MIX,Pit Bull,3,3,M,F,F
MIX,Mixed/Other,U,U,U,F,F
UNKNOWN,WILD DOG,U,U,U,F,F
UNKNOWN,WHITE FORMOSAN MOUNTAIN DOG,U,U,U,F,F
,,U,U,U,F,T
DACHSHUND,Dachshund Smooth Coat,11,11,N,F,F
MIX,SMALL MIXED BREED,8,8,F,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
MIX,Beagle Crossbreed,U,U,U,F,F
ENG BULLDOG,"Bull Dog, English",6,6,N,F,F
MIX,MIXED,U,U,U,F,F
MIX,MEDIUM MIXED BREED,5,5,F,F,F
MIX,MEDIUM MIXED BREED,3,3,M,F,F
BOXER,Boxer,U,U,U,F,F
SHIH TZU,Shih Tzu,2,2,M,F,F
PIT MIX,Pit Bull,U,U,U,F,F
SHIH TZU,Shih Tzu,U,U,U,F,F
MIX,Yorkshire Terrier Crossbreed,U,U,U,F,F
PIT MIX,Pit Bull,3,3,M,F,F
MIX,MALTESE BIGHON MIX WHITE,U,U,U,F,F
MIX,BORDER COLLIE MIX,6,6,N,F,F
YORKSHIRE TERR,Yorkshire Terrier,U,U,U,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,U,U,U,F,F
MIX,TERRIER/MALTESE MIX,4,4,S,F,F
POODLE STND,"Poodle, Standard",U,U,U,F,F
MIX,Mixed/Other,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
GERM SHEPHERD,German Shepherd,4,4,M,F,F
UNKNOWN,Whippet,7,7,N,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
,,U,U,U,F,T
MIX,Mixed/Other,5,5,F,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
,,U,U,U,F,T
MALTESE,Maltese,6,6,F,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,U,U,U,F,F
MIX,MIXED BREED,U,U,U,F,F
MALTESE,Maltese,U,U,M,F,F
UNKNOWN,UNCERTAIN,U,U,M,F,T
SHIH TZU,Shih Tzu,U,U,U,F,F
SHIH TZU,Shih Tzu,U,U,U,F,F
BOSTON TERRIER,Boston Terrier,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
MIX,BERNEDOODLE,U,U,U,F,F
MIX,LARGE MIXED BREED,2,2,M,F,F
MIX,LARGE MIXED BREED,2,2,F,F,F
UNKNOWN,PUG OR PIT BULL,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
WEST HIGHLAND,WESTY,7,7,F,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
MIX,AUSTRALIAN SHEPARD - POODLE MIX,4,4,M,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
MALTESE,Maltese,9,9,S,F,F
UNKNOWN,UNCERTAIN,4,4,N,F,F
AUST CATTLE DOG,AUSTRALIAN CATTLE DOG,6,6,N,F,F
MIX,LARGE MIXED BREED,1,1,M,F,F
MIX,SMALL MIXED BREED,1,1,M,F,F
PIT MIX,Pit Bull,U,U,U,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
MIX,SHIH TZU/MALTESE X,7,7,N,F,F
COCKER SPAN,Cocker Spaniel,U,U,U,F,F
BOSTON TERRIER,Boston Terrier,5,5,N,F,F
CANE CORSO,Cane Corso,7YRS,7,M,F,F
MIX,MIXED,1,1,F,F,F
MIX,Chihuahua Crossbreed,2,2,M,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
,,U,U,U,F,T
SIBERIAN HUSKY,Siberian Husky,U,U,U,F,F
GERM SHEPHERD,German Shepherd,4,4,M,F,F
UNKNOWN,UNCERTAIN,U,U,U,F,T
LABRADOR RETR,Labrador Retriever,1,1,N,F,F
WEST HIGHLAND,WESTIES,6,6,M,F,F
SHIBA INU,Shiba Inu,3,3,S,F,F
GERM SHEPHERD,German Shepherd,5,5,M,F,F
GERM SHEPHERD,German Shepherd,5,5,M,F,F
UNKNOWN,UNCERTAIN,U,U,U,F,T
MIX,PETITE GOLDEN DOODLE,4,4,N,F,F
PIT MIX,Pit Bull,U,U,U,F,F
YORKSHIRE TERR,Yorkshire Terrier,4,4,M,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
GOLDEN RETR,Golden Retriever,U,U,U,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
YORKSHIRE TERR,Yorkshire Terrier,8,8,M,F,F
PIT MIX,Pit Bull,U,U,U,F,F
GERM SHEPHERD,German Shepherd,U,U,U,F,F
MIX,HOUND MIX,2,2,N,F,F
ENG BULLDOG,"Bull Dog, English",11,11,N,F,F
UNKNOWN,SMALL DOG,U,U,U,F,T
MIX,LARGE MIXED BREED,2,2,M,F,F
MIX,MEDIUM MIXED BREED,2,2,S,F,F
PIT MIX,Pit Bull,U,U,U,F,F
,,U,U,U,F,T
POODLE STND,"Poodle, Standard",U,U,U,F,F
WEST HIGHLAND,WESTIE TERRIER,7,7,N,F,F
UNKNOWN,UNKNOWN,U,U,M,F,T
,,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
MIX,LABRADOR X,U,U,U,F,F
DACHSHUND,Dachshund Smooth Coat,2,2,S,F,F
MIX,LARGE MIXED BREED,5,5,M,F,F
UNKNOWN,UNCERTAIN,U,U,U,F,T
POMERANIAN,Pomeranian,8,8,M,F,F
MIX,SPANIEL/POODLE MIX,12,12,N,F,F
JACK RUSS TERR,Jack Russ,U,U,U,F,F
JACK RUSS TERR,Jack Russ,1,1,N,F,F
,,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
MIX,MIXED,U,U,U,F,F
MIX,WESTIE & SCHNAUZER,6,6,U,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,U,U,U,F,F
WEST HIGHLAND,WESTIE,U,U,U,F,F
ENG BULLDOG,"Bull Dog, English",8,8,N,F,F
BULL TERRIER,Bull Terrier,8,8,S,F,F
PIT MIX,Pit Bull,U,U,U,F,F
COCKER SPAN,Cocker Spaniel,U,U,U,F,F
UNKNOWN,SMALL DOG,U,U,U,F,T
UNKNOWN,UNKNOWN,U,U,U,F,T
MIX,CHOW CHOW/GOLDEN RETRIEVER X,3,3,F,F,F
GERM SHEPHERD,German Shepherd,U,U,U,F,F
GOLDEN RETR,Golden Retriever,3,3,N,F,F
SHIH TZU,Shih Tzu,7,7,N,F,F
YORKSHIRE TERR,Yorkshire Terrier,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
MIX,AUSTRALIAN TERRIER X,12,12,M,F,F
WEST HIGHLAND,West High White Terrier,U,U,M,F,F
MIX,GERMAN SHEPHERD/GOLDEN RETRIEVER X,U,U,U,F,F
WEST HIGHLAND,West High White Terrier,9,9,M,F,F
PIT MIX,Pit Bull,U,U,U,F,F
MIX,SHIH TZU X,10,10,N,F,F
GERM SHEPHERD,German Shepherd,10,10,M,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
WEST HIGHLAND,West High White Terrier,3,3,S,F,F
LABRADOR RETR,Labrador Retriever,U,U,U,F,F
MIX,GOLDEN RETRIEVER X,1,1,N,F,F
UNKNOWN,UNCERTAIN,U,U,U,F,T
MIX,COLLIE MIX,9,9,N,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
MIX,ROTTWEILER MIX,7,7,N,F,F
SHIH TZU,Shih Tzu,4,4,M,F,F
MIX,GOLDEN DOODLE,5,5,S,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
UNKNOWN,UNKNOWN,U,U,U,F,T
MIX,LARGE TERRIER CROSS,4,4,M,F,F
MIX,LARGE TERRIER CROSS,4,4,M,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
UNKNOWN,UNKNOWN,U,U,U,F,T
WEST HIGHLAND,West High White Terrier,5,5,M,F,F
,,U,U,U,F,T
UNKNOWN,UNKNOWN,U,U,U,F,T
WEST HIGHLAND,West High White Terrier,5,5,M,F,F
WEST HIGHLAND,West High White Terrier,5,5,M,F,F
MIX,Labrador Retriever Crossbreed,3,3,N,F,F
,,U,U,U,F,T
MIX,SHIH TZU X,10,10,N,F,F
PIT MIX,Pit Bull,U,U,U,F,F
MIX,TERRIER MIX,4,4,N,F,F
CHIHUAHUA,Chihuahua,U,U,U,F,F
SHIH TZU,Shih Tzu,U,U,U,F,F
UNKNOWN,UNCERTAIN,U,U,U,F,T
UNKNOWN,UNCERTAIN,U,U,U,F,T
UNKNOWN,UNCERTAIN,U,U,U,F,T
UNKNOWN,UNKNOWN,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
MIX,SHAR-PEI X,U,U,U,F,F
MALTESE,Maltese,4,4,N,F,F
UNKNOWN,UNCERTAIN,U,U,U,F,T
MIX,SHIH TZU X,7,7,S,F,F
PIT MIX,Pit Bull,U,U,U,F,F
BICHON FRISE,Bichon Frise,U,U,U,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,U,U,U,F,F
SHIH TZU,Shih Tzu,U,U,U,F,F
MIX,HOUND X,2,2,S,F,F
POODLE STND,"Poodle, Standard",U,U,U,F,F
SHIH TZU,Shih Tzu,U,U,U,F,F
MIX,MIXED,11M,0.92,N,F,F
GREYHOUND,Greyhound,9,9,S,F,F
UNKNOWN,UNCERTAIN,U,U,U,F,T
BEAGLE,Beagle,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
BULL TERRIER,Staffordshire Bull Terrier,3,3,M,F,F
MIX,LABRADOR / SHEPHERD MIX,8,8,S,F,F
MIX,Chihuahua Crossbreed,6,6,N,F,F
UNKNOWN,UNCERTAIN,U,U,U,F,T
TERRIER,TERRIER,U,U,U,F,F
CHIHUAHUA,Chihuahua,U,U,U,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
ENG BULLDOG,"Bull Dog, English",2,2,F,F,F
PIT MIX,Pit Bull,U,U,U,F,F
MIX,BEAGLE MIX,5,5,N,F,F
UNKNOWN,UNCERTAIN,U,U,U,F,T
MIX,LARGE MIXED BREED,7,7,M,F,F
CHIHUAHUA,Chihuahua,U,U,U,F,F
MIN PINSCHER,Miniature Pinscher,U,U,U,F,F
ENG POINTER,ENGLISH POINTER,5,5,M,F,F
SHIH TZU,Shih Tzu,U,U,U,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
SHIH TZU,Shih Tzu,U,U,U,F,F
WEST HIGHLAND,West High White Terrier,13,13,N,F,F
MIX,LARGE MIXED BREED,2,2,U,F,F
SHIBA INU,Shiba Inu,4M,0.33,M,F,F
MIX,German Shepherd Crossbreed,5YRS,5,N,F,F
WEST HIGHLAND,West High White Terrier,2,2,U,F,F
,,U,U,U,F,T
,,U,U,U,F,T
,,U,U,U,F,T
PIT MIX,American Pit Bull Terrier/Pit Bull,1,1,M,F,F
,,U,U,U,F,T
GOLDEN RETR,Golden Retriever,U,U,U,F,F
MIX,Mixed/Other,2,2,S,F,F
BULLDOG,Bull dog,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
MIX,Mixed/Other,U,U,M,F,F
MIX,MIXED BREED,U,U,U,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
PIT MIX,American Pit Bull Mix / Pit Bull Mix,7,7,F,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
PIT MIX,Pit Bull,2YRS,2,M,F,F
PIT MIX,Pit Bull,U,U,U,F,F
MIX,German Shepherd Crossbreed,5,5,S,F,F
PIT MIX,PIT BULL/BOXER MIX,3,3,N,F,F
MIX,BICHON FRISE/CAVALIER KING CHARLES MIX,4,4,N,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,Pit Bull,1,1,F,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
GERM SHEPHERD,German Shepherd,8YRS,8,M,F,F
MIX,LARGE MIXED BREED,2,2,M,F,F
COLLIE ROUGH,"Collie, Rough Coat",3YRS,3,M,F,F
SHIH TZU,Shih Tzu,5,5,N,F,F
MIX,SMALL MIXED BREED,3,3,M,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
MIX,LABRADOR / SHEPHERD MIX,10,10,N,F,F
BULLDOG,AMERICAN BULLY,U,U,U,F,F
MALTESE,Maltese,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
BASENJI,BASENJI,10YRS,10,M,F,F
MIX,MIXED BREED,4,4,S,F,F
PIT MIX,Pit Bull,U,U,M,F,F
MIX,YORKIE/SCHNAUZER X,7,7,M,F,F
MIX,LARGE MIXED BREED,7M,0.58,M,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,U,F,F
MIX,LARGE MIXED BREED,3,3,M,F,F
,,U,U,U,F,T
,,U,U,U,F,T
MIX,CORGI-DACHSHUND X,4,4,N,F,F
MIX,POINTER MIX,5,5,N,F,F
MIX,German Shepherd Crossbreed,12,12,F,F,F
SHIBA INU,Shiba Inu,6,6,M,F,F
MIX,MIXED BREED,U,U,U,F,F
MIX,MIXED BREED,2,2,F,F,F
MIX,MEDIUM MIXED BREED,6,6,F,F,F
TIBETAN TERR,Tibetan Terrier,14,14,N,F,F
GERM SHEPHERD,German Shepherd,11,11,N,F,F
GERM SHEPHERD,German Shepherd,U,U,U,F,F
UNKNOWN,UNKNOWN,U,U,U,F,T
UNKNOWN,UNKNOWN,U,U,U,F,T
